shipment_id,order_id,warehouse_id,carrier,tracking_number,shipped_date,delivered_date,shipment_state
f2b6843f-651d-4180-8e9e-9463f47cc4b7,a04629aa-fdf3-4899-b581-56dbb9a12572,ab993ac2-3403-4413-88ca-adf00cee0973,dhl,1Z586YZ2634999454,2024-04-23,2024-04-30,delivered
127d7e61-ddb3-4350-b56a-9308e64dcf75,c69d59ec-0978-4670-8a03-f2c81ff09d59,9a7f238f-ff0a-4a46-9bc5-b76c045f34f7,ups,1Z203AB0091575365,2024-04-21,2024-04-30,delivered
853d2ede-f852-4931-8ea0-52008ea38c80,c9f89e3b-eedf-4442-b3e0-eedb8084dc69,3b5e3aa9-ba0f-4938-8883-41d61182dc94,usps,1Z625EV8491870605,2023-07-18,2023-07-22,delivered
fb52d160-83a0-4821-8a52-599873276878,d9d0acec-f9fe-477e-a8b4-191468f419ed,2f1e95b4-aa81-4b55-926d-70531f59528d,fedex,1Z970PI1142269434,2023-09-26,2023-10-01,delivered
46f0ec3e-5773-4eba-8506-5c3ead8ab5a0,6b7e5beb-b58b-4b38-a12b-0d12186e793b,067cb52e-60b6-4c7f-b93d-ba67d806f2e9,fedex,1Z465DE1588950379,2024-03-20,2024-03-26,delivered
389dbf0a-a258-4873-998a-195cb3da1200,4d032329-2331-4e9f-889b-98f9c28dd456,30a760c5-971e-45bc-a486-1b9c5c6cb5b3,usps,1Z576XV0350309671,2024-03-29,2024-03-31,returned
dc725733-2ae6-42cf-a18a-536ae561ee7a,99c0a235-81ac-4a24-bdf3-8edfa4e38b8f,067cb52e-60b6-4c7f-b93d-ba67d806f2e9,ups,1Z971RH9514712366,2023-10-20,2023-10-28,delivered
64291bf7-5ff2-408f-88b8-4d03af070895,7b749051-705a-4297-b7b0-e6d2b355d6a3,17c4e490-aea6-450e-8341-edd09cb436b7,usps,1Z409HR7822169558,2023-04-20,2023-04-23,delivered
49c062ca-51aa-4842-a310-9e530f2d0f5b,8b39ea40-ff7d-42c8-9d74-e57f70de2496,bf354916-9528-4db9-8189-f6524573c41b,fedex,1Z102MI6867114645,2024-04-12,2024-04-17,delivered
fb06c335-8d03-4dcf-ae2d-5ff90eb624d7,d21453f9-131b-45e8-8b4b-472b2f087002,30a760c5-971e-45bc-a486-1b9c5c6cb5b3,ups,1Z189RI4110683736,2023-07-16,2023-07-24,delivered
a339b486-7fc7-4266-a99a-ce29a5b56c5b,f0ad7298-4716-452a-8eb9-0138b24c9daa,90d6c40d-10d6-432b-99fe-bd1448f1aa57,ups,1Z939HO2335094868,2023-12-29,2024-01-05,delivered
34390ccd-80a2-4d6e-8228-7577625ae624,f5a30fc2-edde-496e-92e0-1172f113d7dd,fa42ec50-bf62-41ae-851d-68ee160f73ae,fedex,1Z025SN1760952331,2023-04-01,2023-04-02,delivered
4b1bb35b-78bf-45d6-9693-fbdc6291f284,34794af1-d90e-4e3d-a04a-dd0bb5d30b30,bf354916-9528-4db9-8189-f6524573c41b,fedex,1Z140DT4713002089,2024-04-29,2024-04-30,delivered
ce1fdd9e-72e1-463a-8838-c838566303b5,b8c4edf5-46f8-4328-beaf-38905c95d7e3,fa42ec50-bf62-41ae-851d-68ee160f73ae,fedex,1Z095RD6239829429,2024-03-17,2024-03-21,delivered
96a146eb-3122-45ae-902a-12b5c37f5db5,34bd031f-75ca-4151-a469-073a3d456ddd,17c4e490-aea6-450e-8341-edd09cb436b7,dhl,1Z638FD7486818653,2024-03-03,2024-03-10,delivered
84940981-ab69-4a98-860d-9a026d549379,b0fee479-fb11-415c-9dd2-dee451e194f0,067cb52e-60b6-4c7f-b93d-ba67d806f2e9,fedex,1Z026QU3647079741,2024-04-05,2024-04-11,delivered
d7ea5f89-c178-4951-8197-acf120a85790,5effbffc-17bf-4111-9bd8-84a4b00863c2,9a7f238f-ff0a-4a46-9bc5-b76c045f34f7,amazon_logistics,1Z868NV2710891638,2024-02-23,2024-03-01,delivered
c682967c-376b-4a3b-8377-2566d5cfffa5,ffd26190-5bc7-4e4c-8870-881b0b4289e7,30a760c5-971e-45bc-a486-1b9c5c6cb5b3,ups,1Z290HY9002072962,2023-08-31,2023-09-03,delivered
c0905d70-85a8-4bbe-9f65-81326ba98f78,83c499dc-cb8a-43ad-8d3d-5e8712be5fbd,17c4e490-aea6-450e-8341-edd09cb436b7,ups,1Z570AV8945481746,2024-01-14,2024-01-21,delivered
c9870ee1-8045-4eb9-898b-d8126e5ebaef,4cf0226c-d5fd-46ee-9cef-e123e0c5f402,fa42ec50-bf62-41ae-851d-68ee160f73ae,ups,1Z585TM7064116750,2023-10-17,2023-10-24,delivered
70001c24-32f0-428a-ab14-1afdd6048aae,df52ddd8-7e66-4693-9609-bd84a63c8b31,9a7f238f-ff0a-4a46-9bc5-b76c045f34f7,ups,1Z406WN5276506451,2024-02-03,,in_transit
6f365ea8-02bd-4785-be15-ebe5d1ab557e,1048bf6f-58e8-4f01-9285-dbd685cbc10e,fa42ec50-bf62-41ae-851d-68ee160f73ae,ups,1Z364AP8207435116,2023-11-03,2023-11-13,delivered
d9214c4a-2653-4f23-9c15-05fc52a185da,e5bafa15-55ef-4e38-9c37-6afdf9ae6220,ab993ac2-3403-4413-88ca-adf00cee0973,ups,1Z016KY0147195829,2024-03-26,2024-03-28,delivered
bff2f27e-15ae-426f-a587-4cca59a53d3a,a7ec0cbf-cae8-4d48-aec5-cbe47b58bee3,2f1e95b4-aa81-4b55-926d-70531f59528d,ups,1Z845UQ2915850130,2023-12-21,2023-12-30,delivered
d3130c47-4981-4eda-9835-e250612d5551,3d006170-5525-4e6e-9d07-b7fd45c5fb46,30a760c5-971e-45bc-a486-1b9c5c6cb5b3,usps,1Z011ZD9089012283,2024-03-04,,in_transit
f2cafe7c-192e-4db4-9ac9-d88159ee568f,4f47eab0-f345-4d27-b2c0-fcdd60d25a08,2f1e95b4-aa81-4b55-926d-70531f59528d,dhl,1Z998PH7063993339,2023-12-24,2023-12-30,returned
28cc06f9-175b-446b-a24c-3127b084dc8d,b6ea3bd3-3a6e-4f9d-89d4-23be702b446f,9a7f238f-ff0a-4a46-9bc5-b76c045f34f7,fedex,1Z071VZ4031256943,2023-03-18,2023-03-22,delivered
11fbb30f-34c9-48d1-8ac4-246e8d2edb40,4b5c728b-7fe7-4268-8341-52b63bce82ca,fa42ec50-bf62-41ae-851d-68ee160f73ae,ups,1Z322SL1486249374,2023-06-14,2023-06-20,delivered
89a231c2-049b-4ad6-b3aa-103a7c4cc972,32245a0f-e5e8-40cb-a295-dea81a08b348,bbc4323f-7fdc-4913-8813-74f66d90fbff,amazon_logistics,1Z693RJ7802097797,2024-04-25,2024-04-29,delivered
09bfef8f-683f-47c2-85c9-04de6b2218e6,f9d97fae-2028-4d93-a306-6e403e0cd06a,186252aa-ede5-4d43-ae8c-afa67e2d2f41,fedex,1Z631RL8400876022,2024-04-11,2024-04-18,delivered
9173ab24-e913-45f7-88d3-25eef7573006,6b17c8dd-e3fe-42b7-b4f2-a208183cb6b2,bf354916-9528-4db9-8189-f6524573c41b,usps,1Z758TJ2091368400,2024-04-30,2024-04-30,delivered
38e518f3-08e5-4d5c-a060-8290c201e81c,6e156c20-1968-4ae1-989c-a9c695c8e7e7,186252aa-ede5-4d43-ae8c-afa67e2d2f41,ups,1Z332ZU2452273119,2024-02-21,2024-02-26,delivered
a4b7b48e-8167-46f1-a36d-287ae723acab,dfaaecdc-d4b7-49b3-bccc-ed60303adc14,17c4e490-aea6-450e-8341-edd09cb436b7,usps,1Z487UR5972665208,2024-01-21,2024-01-23,delivered
8d2f52d1-f780-42dc-987e-0ad4a401e070,fe62f7e6-6674-4afa-966f-0adeeaba56e8,bd0b4a2e-3f75-46a1-bf8a-5a82594d70a4,usps,1Z959NO4664181572,2024-04-08,2024-04-11,delivered
f6fbd028-ad84-44c4-a18f-4c6baac16c1e,12a4c96a-da81-44b0-847c-eb72a42fb99f,675870cd-1868-4277-aeba-578addec8838,usps,1Z395MV8010425847,2023-07-08,2023-07-13,delivered
8b0f9120-6c66-4b73-8169-a0b853d15a93,996f883d-42ef-4bd2-9567-dbb0ed722c1d,186252aa-ede5-4d43-ae8c-afa67e2d2f41,fedex,1Z749TR0598836029,2024-02-08,2024-02-15,delivered
5e8c4937-1567-48bf-a062-5a8eb95e7f63,1457e401-6f6c-4de4-b0ed-cd8dcfb8ecd1,186252aa-ede5-4d43-ae8c-afa67e2d2f41,usps,1Z785GC4584010435,2024-04-30,2024-04-30,delivered
5bae90d8-77e3-4eb6-b07c-4c07eb73648e,608ae49a-b7d5-4740-99a5-29a843e4799a,067cb52e-60b6-4c7f-b93d-ba67d806f2e9,fedex,1Z624DT2605353502,2023-11-02,2023-11-12,delivered
18b15881-5d87-4191-9885-098234cbe831,30aa38de-1cae-4c66-b396-67d7ce2638fc,bd0b4a2e-3f75-46a1-bf8a-5a82594d70a4,dhl,1Z912YC1204569848,2023-12-14,2023-12-16,delivered
ca20d337-9fca-46ee-9da0-a5cf2881afd5,3f721f85-bf83-4bdf-90e4-71222d605809,fa42ec50-bf62-41ae-851d-68ee160f73ae,ups,1Z832IK7773858782,2023-01-11,2023-01-15,delivered
b0a9d210-c65d-48dd-aa31-186f83d15141,69ca67bd-9b6b-4f1f-9267-690b443a3237,186252aa-ede5-4d43-ae8c-afa67e2d2f41,ups,1Z044ZS5316856576,2024-03-21,2024-03-25,delivered
cd5545be-72bd-456c-a469-1ad06035e4cf,9afe75d0-13cb-4709-8a65-b191ebd2c087,17c4e490-aea6-450e-8341-edd09cb436b7,dhl,1Z696HH2184802926,2024-04-30,2024-04-30,delivered
b6100b85-cdf0-4f94-9926-592c2fa88460,790a387c-f7d2-419b-9a04-08f132aac223,3b5e3aa9-ba0f-4938-8883-41d61182dc94,fedex,1Z849QL6905685836,2023-09-15,2023-09-22,delivered
797116d5-17b3-4ed1-8900-0d87dea5e23a,b5d379da-74f4-4ada-8997-52e8304372b7,ab993ac2-3403-4413-88ca-adf00cee0973,fedex,1Z532XZ2166860190,2023-08-28,2023-09-07,delivered
05f63098-f1a3-401b-abd1-b82d951f8b99,5f98ed83-d635-4368-8627-4ba5c31afdeb,17c4e490-aea6-450e-8341-edd09cb436b7,fedex,1Z843PZ7309711958,2024-02-05,2024-02-09,delivered
7931dfcb-ffa2-4416-92ea-5a72fcb36bb8,0137b1ec-8069-43dd-8ed7-2cd8a7662472,bd0b4a2e-3f75-46a1-bf8a-5a82594d70a4,usps,1Z075BM4587988363,2023-12-17,2023-12-25,delivered
a642aaa5-946a-42a1-bc41-91d13e54216d,383cede7-dde2-4f96-873c-e41cb1cb34d8,bd0b4a2e-3f75-46a1-bf8a-5a82594d70a4,dhl,1Z566GJ2670611283,2023-12-15,,in_transit
e6be96cf-770b-4d75-a1b6-7cc8a6ca8dbf,be82abfc-3486-4734-8972-bf3bea3e6137,2f1e95b4-aa81-4b55-926d-70531f59528d,fedex,1Z511YU7948333283,2024-01-10,2024-01-13,delivered
6ce6b618-e60c-4fa7-9a68-92cbf6704edb,e9d0ff0a-5ffb-49ce-b8d6-a45a7d21321d,fa42ec50-bf62-41ae-851d-68ee160f73ae,usps,1Z519EL2596329566,2023-10-28,2023-10-30,delivered
17217300-c9f8-4234-8532-034c43f73e9c,410358bb-11a2-4dfd-93f8-790464c744ba,17c4e490-aea6-450e-8341-edd09cb436b7,ups,1Z392AT3967597388,2024-01-10,2024-01-15,delivered
a64bd5c8-7c79-48d5-860d-c2624c6bb212,223a5692-c109-4b8c-912b-fc9f96a376d5,186252aa-ede5-4d43-ae8c-afa67e2d2f41,dhl,1Z178LZ4885849600,2024-01-18,2024-01-20,delivered
a002e677-5b51-460f-9f25-5bfe6ea719e8,d431e62c-9def-4163-9a43-02b6407f9e2a,414c90e8-1f79-4fac-aa23-cea655b18828,ups,1Z396WR3774409970,2023-06-05,2023-06-09,delivered
02811ac4-acec-4962-8142-771ce819cfba,3036236b-a6d6-45ed-95ec-cec6edf81a25,186252aa-ede5-4d43-ae8c-afa67e2d2f41,amazon_logistics,1Z442KN0442783964,2024-04-24,,in_transit
c0abefa3-95ab-4645-894f-b0f70593131a,253a2406-d607-4119-919e-128a51a3815c,675870cd-1868-4277-aeba-578addec8838,dhl,1Z015PF5337346867,2023-09-13,2023-09-23,delivered
439d67cc-2ae0-4200-a42d-0f2c45ed25be,6c872965-8734-4ad9-97cc-cf4cdd681b67,30a760c5-971e-45bc-a486-1b9c5c6cb5b3,ups,1Z543JK8182060881,2023-04-15,2023-04-16,delivered
60c5c968-1af5-45ec-8719-8f2249259c27,9da03325-019a-465d-9b71-f2b1a2b7cb9a,bf354916-9528-4db9-8189-f6524573c41b,ups,1Z605XK8360686455,2023-10-27,2023-10-31,delivered
b8833aad-e5be-4823-ad5b-7b42048bdfe0,87c98e92-4001-4df3-aaf6-cb69385ad2d0,bf354916-9528-4db9-8189-f6524573c41b,ups,1Z648VO3403730662,2023-10-22,2023-10-29,delivered
d73d3fa9-df46-475e-89e3-d56dcc910dfb,fd12aa27-440b-47b9-8048-86db532e7667,9a7f238f-ff0a-4a46-9bc5-b76c045f34f7,dhl,1Z294QE1812069802,2024-04-27,2024-04-29,delivered
46f7d206-8847-41ef-8296-2cee537d6a27,753958ee-d046-419b-83e7-3b23208dc0eb,fa42ec50-bf62-41ae-851d-68ee160f73ae,ups,1Z150FD5030634557,2023-10-19,2023-10-24,delivered
e8d73c41-ba5a-4239-a70a-e1d218cd6fe7,78ac5b5b-f2c3-4941-b91f-714e961471bd,414c90e8-1f79-4fac-aa23-cea655b18828,fedex,1Z656SC0302597706,2024-03-22,2024-03-26,returned
d0b03fea-5890-4dc0-8bbe-fb72c337075a,91f429b8-d880-4234-9a52-c6d9e6aa644b,ab993ac2-3403-4413-88ca-adf00cee0973,ups,1Z762QZ4411394173,2023-12-23,2024-01-01,delivered
